year,edition,notes
1970,morning,6809
1971,morning,4095
1972,morning,4470
1973,morning,4829
1974,morning,6774
1975,morning,7963
1976,morning,9718
1977,morning,5909
1978,morning,7282
1979,morning,8617
1980,morning,10927
1981,morning,8849
1982,morning,6085
1983,morning,5891
1984,morning,5615
1985,morning,5094
1986,morning,4248
1987,evening,1
1987,morning,6347
1988,morning,6452
1989,evening,1
1989,morning,4054
1990,morning,4566
1991,morning,5284
1992,morning,5289
1993,morning,9420
1994,morning,10407
1995,morning,5163
1996,morning,13754
1997,morning,12598
1998,morning,12921
1999,morning,28238
2000,evening,6
2000,morning,27000
2001,evening,15
2001,morning,24750
2002,evening,68
2002,morning,23929
2003,evening,62
2003,morning,23673
2004,evening,9
2004,morning,24879
2005,evening,16
2005,morning,25690
2006,evening,14
2006,morning,27691
2007,evening,26
2007,morning,27483
2008,evening,15
2008,morning,30716
2009,evening,28
2009,morning,28737
2010,evening,61
2010,morning,29827
2011,evening,12
2011,morning,34222
2012,evening,44
2012,morning,35047
2013,evening,70
2013,morning,34402
2014,evening,153
2014,morning,35888
2015,evening,78
2015,morning,33905
2016,evening,52
2016,morning,32581
2017,evening,171
2017,morning,30933
2018,evening,188
2018,morning,30133
2019,evening,332
2019,morning,25244
2020,evening,250
2020,morning,19639
2021,evening,173
2021,morning,23233
2022,evening,193
2022,morning,26556
2023,evening,313
2023,morning,27288
2024,evening,383
2024,morning,23020
2025,evening,287
2025,morning,23529
2026,evening,156
2026,morning,12497
