anio,edicion,notas
1970,matutina,6809
1971,matutina,4095
1972,matutina,4470
1973,matutina,4829
1974,matutina,6774
1975,matutina,7963
1976,matutina,9718
1977,matutina,5909
1978,matutina,7282
1979,matutina,8617
1980,matutina,10927
1981,matutina,8849
1982,matutina,6085
1983,matutina,5891
1984,matutina,5615
1985,matutina,5094
1986,matutina,4248
1987,matutina,6347
1987,vespertina,1
1988,matutina,6452
1989,matutina,4054
1989,vespertina,1
1990,matutina,4566
1991,matutina,5284
1992,matutina,5289
1993,matutina,9420
1994,matutina,10407
1995,matutina,5163
1996,matutina,13754
1997,matutina,12598
1998,matutina,12921
1999,matutina,28238
2000,matutina,27000
2000,vespertina,6
2001,matutina,24750
2001,vespertina,15
2002,matutina,23929
2002,vespertina,68
2003,matutina,23673
2003,vespertina,62
2004,matutina,24879
2004,vespertina,9
2005,matutina,25690
2005,vespertina,16
2006,matutina,27691
2006,vespertina,14
2007,matutina,27483
2007,vespertina,26
2008,matutina,30716
2008,vespertina,15
2009,matutina,28737
2009,vespertina,28
2010,matutina,29827
2010,vespertina,61
2011,matutina,34222
2011,vespertina,12
2012,matutina,35047
2012,vespertina,44
2013,matutina,34402
2013,vespertina,70
2014,matutina,35888
2014,vespertina,153
2015,matutina,33905
2015,vespertina,78
2016,matutina,32581
2016,vespertina,52
2017,matutina,30933
2017,vespertina,171
2018,matutina,30133
2018,vespertina,188
2019,matutina,25244
2019,vespertina,332
2020,matutina,19639
2020,vespertina,250
2021,matutina,23233
2021,vespertina,173
2022,matutina,26556
2022,vespertina,193
2023,matutina,27288
2023,vespertina,313
2024,matutina,23020
2024,vespertina,383
2025,matutina,23529
2025,vespertina,287
2026,matutina,12497
2026,vespertina,156
